age,storeys,score,latitude,longitude,graffiti,cladding,grounds,walkways
54,10,60,43.7133504142,-79.2715314234,5,3,3,3
65,4,88,43.7275858638,-79.3190299977,5,4,4,4
61,4,80,43.7270242372,-79.315596986,5,4,4,4
51,8,79,43.6751635121,-79.3574685355,5,4,4,4
103,4,64,43.6840547809,-79.4209132292,5,3,3,3
51,6,73,43.7923267755,-79.3320509885,5,4,3,4
44,18,69,43.793883909,-79.351291535,5,3,3,3
63,3,53,43.7432824572,-79.4876757538,4,3,3,2
30,3,73,43.652655724,-79.39647886,5,4,3,4
56,22,74,43.6653627805,-79.3448533882,5,4,4,4
49,14,75,43.7682616864,-79.348101055,5,4,4,4
56,14,73,43.7688139457,-79.347307528299993,4,4,4,4
56,17,76,43.7741358989,-79.3429451779,5,4,4,3
32,4,71,43.647261855000004,-79.400907613,4,4,4,4
63,3,51,43.7418042011,-79.4363369566,4,3,3,3
30,3,76,43.652192629,-79.396788053,4,4,4,4
100,3,67,43.6514274301,-79.3935632279,5,3,3,3
11,26,83,43.6431712607,-79.532364963,5,5,3,4
21,3,79,43.677485169,-79.320862391,5,4,4,4
65,4,64,43.769190713,-79.379327637,5,3,3,3
83,4,69,43.653332449,-79.467450244,5,3,4,4
94,3,66,43.652849679,-79.469860803,5,3,4,4
88,4,59,43.648016589,-79.48963831,3,3,3,3
52,13,65,43.787815708,-79.196116635,5,2,4,4
51,10,73,43.7671070711,-79.1850076952,2,3,4,4
68,4,70,43.672335957,-79.305154005,5,3,4,4
95,3,87,43.66853304,-79.2929025123,5,3,4,4
63,3,56,43.7430002266,-79.4871354052,5,3,3,3
53,16,52,43.64088681,-79.564713058,1,3,3,3
67,3,66,43.719032062,-79.4807128716,5,3,3,4
63,3,63,43.5997458878,-79.5057809161,5,3,3,3
48,13,67,43.7820250882,-79.291608709,5,3,3,3
63,14,68,43.7825428369,-79.2897512753,5,3,3,3
68,3,68,43.7193441753,-79.480778054500007,5,3,3,4
37,8,75,43.648931485,-79.398985647,5,4,4,4
48,6,67,43.7031497325,-79.3474623763,5,3,3,3
49,19,64,43.697803447,-79.499827299,4,4,3,3
58,3,66,43.7155061026,-79.3912414634,4,3,3,3
46,4,67,43.663342704,-79.521030395,5,3,4,4
46,4,67,43.663489134,-79.521317056,5,3,4,4
83,4,63,43.734792041,-79.405012706,5,3,4,3
83,4,63,43.734987603,-79.405127399,5,3,4,3
65,3,68,43.735946368,-79.4396551078,5,4,3,3
103,4,71,43.6694252933,-79.3057875382,4,2,4,4
32,11,68,43.651211633,-79.390479351,3,3,4,4
61,4,64,43.6352649375,-79.4919665857,5,3,3,3
64,10,62,43.6291344462,-79.5787506011,5,2,3,3
73,3,57,43.690864521,-79.265477585,3,3,3,4
73,3,57,43.690864521,-79.265477585,3,3,3,4
73,3,57,43.690864521,-79.265477585,3,3,3,4
33,4,78,43.718218448,-79.4005393661,5,4,4,4
93,6,73,43.7199537502,-79.4007265564,5,3,4,4
73,4,64,43.6711399039,-79.3114153921,5,3,3,3
65,3,74,43.7108573649,-79.4707253661,5,4,4,4
31,4,72,43.650961887,-79.391878256,5,3,4,4
21,3,64,43.701953817,-79.476918201,4,4,3,3
28,10,67,43.6625963867,-79.3770996431,4,4,3,4
32,10,59,43.6658437649,-79.3786635965,2,3,3,3
123,3,56,43.6683620869,-79.3786856506,4,3,2,2
73,4,66,43.6349134645,-79.4905899718,5,3,3,3
73,4,67,43.6348017129,-79.4912245002,5,3,3,3
44,7,74,43.6502402585,-79.3915033739,5,3,4,4
66,3,69,43.6390897407,-79.4882393913,5,3,4,3
10,7,74,43.717812062,-79.330538523,5,4,4,3
58,7,66,43.662438171,-79.503538826,5,3,4,4
15,11,71,43.66759196,-79.375398711,4,4,4,4
71,3,63,43.686627439,-79.374759908,5,4,3,4
108,3,52,43.692623122,-79.48295506,4,2,3,2
65,3,61,43.668927772,-79.315350573,5,3,3,4
45,5,65,43.6763304427,-79.3597559522,5,4,2,4
35,4,66,43.6812355331,-79.3299329034,5,4,3,3
63,3,68,43.709007221,-79.376131167,5,3,3,3
109,3,59,43.653685383,-79.466255527,5,3,2,3
109,3,63,43.653724315,-79.466048263,5,3,3,3
41,6,63,43.787160745,-79.4456380716,4,3,3,3
58,3,65,43.7034048782,-79.4948376318,5,4,3,4
55,15,61,43.632109972,-79.576154353,5,3,3,3
30,8,72,43.6983581761,-79.386954826,5,3,3,4
40,10,68,43.7088453,-79.3898544426,5,3,3,4
32,4,69,43.686322989,-79.290283704,5,4,4,4
56,5,59,43.6847616076,-79.2954429245,5,4,3,3
42,15,79,43.7080325071,-79.3945783952,5,4,4,4
51,10,67,43.7083967721,-79.391625027,3,3,3,4
37,5,69,43.65837995,-79.373485597,4,4,4,4
73,3,65,43.6660993738,-79.5203712408,5,3,3,4
70,3,63,43.6655032213,-79.5211831074,5,3,3,3
53,12,75,43.6890416008,-79.3545084305,5,5,4,5
43,6,58,43.7362667002,-79.253868081,3,3,3,3
66,5,70,43.7031541679,-79.4167347676,4,4,3,3
52,19,67,43.640023653,-79.563923317,5,3,3,3
43,6,58,43.7366529492,-79.2546800304,3,3,3,3
43,6,58,43.7364538465,-79.2539355905,3,3,3,3
55,6,69,43.7028276232,-79.4182269632,5,3,3,3
71,4,68,43.7340881358,-79.4038420166,5,4,3,3
61,3,61,43.736219646,-79.443095826,5,3,3,3
55,7,69,43.7939825101,-79.4198227886,5,3,4,3
71,5,79,43.646685099,-79.4485785795,5,4,4,3
68,3,55,43.735321323,-79.44546875,4,3,3,2
28,5,64,43.734757435,-79.445351342,4,3,3,3
41,5,82,43.739288979,-79.422672379,5,4,4,4
30,4,73,43.7599025231,-79.4643820727,5,4,4,4
30,4,69,43.6625439374,-79.3369204531,5,3,4,4
63,3,65,43.682986595,-79.311994302,5,3,3,4
66,4,63,43.6179988293,-79.4862937261,5,2,3,3
64,4,63,43.6178366581,-79.4863780789,5,2,3,3
56,25,53,43.6990639559,-79.5119719596,2,3,3,3
56,25,53,43.6994166431,-79.51287144,2,3,3,2
41,11,72,43.69068475,-79.395885257,5,4,4,3
103,3,64,43.6767157275,-79.303971101,3,3,4,4
65,4,74,43.6776882643,-79.3033656117,5,4,3,3
65,9,72,43.6770057778,-79.3030883867,5,3,4,4
56,13,71,43.7089112814,-79.4794304788,4,4,3,3
56,13,70,43.7089535721,-79.4805254034,4,4,3,3
103,5,63,43.6886182692,-79.4117661869,5,2,3,3
67,3,59,43.733256976,-79.4341048887,3,3,3,3
66,3,61,43.7331168805,-79.4348475012,5,3,3,3
67,3,65,43.7325879677,-79.4347019262,5,3,4,3
66,3,60,43.7330022044,-79.4353409196,5,3,3,3
66,3,70,43.7014106109,-79.4769290281,5,3,4,3
73,3,65,43.711067487,-79.4000419286,5,3,3,3
30,5,72,43.6620660934,-79.3367847076,4,4,4,4
28,5,72,43.6624909475,-79.3328836483,3,4,4,4
19,6,69,43.6904846907,-79.3423832041,5,4,4,4
127,4,52,43.6589422155,-79.3723537237,3,3,2,2
93,3,68,43.6589747773,-79.3730219749,5,3,4,4
138,3,46,43.6595601379,-79.3726424934,4,2,1,1
53,19,73,43.76917685,-79.3827164,5,3,3,3
11,8,69,43.6901052164,-79.3416209783,5,5,4,4
58,6,60,43.7043490054,-79.523801614,5,3,3,3
53,18,73,43.769665303,-79.383119544,5,3,3,3
49,14,62,43.6815994878,-79.3340244095,5,3,3,4
16,4,72,43.716943462,-79.557813582,5,4,3,3
41,9,72,43.6554042142,-79.4584260885,5,4,3,4
71,4,63,43.66196521,-79.520687298,5,3,3,3
71,4,63,43.662211246,-79.520546563,5,3,3,3
71,4,65,43.662310215,-79.520911906,5,3,3,3
71,4,64,43.662460477,-79.52039703,5,3,3,3
69,4,71,43.638038087,-79.4865149575,5,3,3,3
69,4,73,43.6361245275,-79.4924603306,5,3,3,3
79,4,63,43.647625728,-79.491336413,4,3,4,3
68,3,60,43.732371076,-79.435213823,5,3,3,4
49,4,64,43.729915311,-79.440500991,3,3,3,3
49,4,66,43.729562759,-79.440565679,4,3,2,3
49,4,64,43.729844838,-79.439645351,3,3,2,3
70,3,59,43.7019480754,-79.4775820267,4,3,3,3
61,3,56,43.6135850358,-79.4949390042,4,3,2,3
65,3,61,43.7303067168,-79.4602104154,4,3,3,3
66,3,57,43.5933280046,-79.5267034096,5,3,3,3
62,4,72,43.708287839,-79.4106432574,5,4,4,4
65,4,57,43.6841175176,-79.4901133779,3,3,3,3
55,14,63,43.6784336179,-79.4818925888,3,3,3,2
68,3,52,43.735579287,-79.444539255,5,3,2,2
58,3,63,43.7119743399,-79.4627656492,5,3,4,4
31,5,68,43.67824727,-79.302446163,5,3,3,4
69,3,70,43.678265379,-79.301899491,5,4,3,4
43,10,76,43.696320863,-79.394123596,5,3,3,3
24,5,86,43.6981035564,-79.38800394,5,4,4,4
45,23,53,43.749099512,-79.584064323,2,3,3,3
103,3,67,43.6726998751,-79.2858734346,5,4,3,3
64,4,75,43.7282518882,-79.4012252952,5,3,4,4
54,4,62,43.688323353,-79.50178938,5,3,3,3
64,4,60,43.7010486833,-79.4499999014,5,3,2,3
58,4,53,43.6899589515,-79.3450906815,5,3,2,3
58,6,51,43.6905032392,-79.3447685776,4,2,3,3
63,3,61,43.7440104,-79.4880842286,5,3,3,3
103,3,66,43.672483295,-79.2865449683,5,3,3,4
55,11,68,43.670727396,-79.401650658,5,3,3,4
69,3,70,43.688072015,-79.49346772,5,4,3,3
103,3,60,43.6726703072,-79.2866950453,5,3,3,3
67,3,57,43.7307078351,-79.4377714103,3,3,3,3
65,4,61,43.7030805404,-79.4402317594,3,3,3,3
50,21,63,43.6672554091,-79.4464193523,5,3,3,3
57,14,84,43.7443211202,-79.1973052974,5,4,4,4
45,23,43,43.748495858,-79.583366602,1,3,2,3
65,3,64,43.713898627,-79.453259766,5,3,3,4
61,7,69,43.6805240722,-79.2921137026,5,4,3,4
51,11,60,43.76703953,-79.195497441,3,2,3,4
61,3,86,43.6962315888,-79.3689911694,5,4,4,4
69,3,68,43.6747928439,-79.3073203588,5,4,4,3
51,11,59,43.767386062,-79.193922136,2,3,3,4
49,13,52,43.7672342065,-79.1888137161,2,3,2,2
49,14,59,43.7679927406,-79.185350274,2,4,2,3
71,4,63,43.662380425,-79.521303659,5,3,3,3
71,4,63,43.662044955,-79.521338721,5,3,3,3
71,4,63,43.661751009,-79.521325389,5,3,3,3
71,4,63,43.661699986,-79.520854442,5,3,3,3
56,11,62,43.7272498456,-79.4852956,4,3,3,3
55,11,55,43.695129788,-79.4469525657,3,3,3,3
63,3,65,43.7044391867,-79.4423269927,5,3,3,3
43,18,77,43.6670231538,-79.4007760515,5,4,4,4
63,8,74,43.7104732905,-79.3785880328,5,4,4,4
69,3,68,43.713954115600004,-79.364465297,5,3,3,3
30,7,66,43.709932701,-79.398315206,5,3,3,3
30,7,66,43.710394484,-79.398183371,5,3,3,3
73,4,65,43.6945163928,-79.4569284637,5,3,3,3
55,5,67,43.6782330421,-79.4969313119,5,3,3,3
63,6,68,43.6995188546,-79.4773216595,5,4,3,4
63,6,70,43.6987192629,-79.476784436,5,3,3,4
60,6,71,43.6993035632,-79.4776846609,5,3,4,4
34,4,72,43.7317348465,-79.5986539334,5,3,4,4
63,4,60,43.690334748,-79.347960768,5,2,3,4
53,12,34,43.7441364184,-79.5943268787,1,2,2,1
78,4,59,43.6947032989,-79.3438349968,5,2,3,3
63,3,59,43.7100135211,-79.4787756914,5,3,3,3
29,4,66,43.752235605,-79.488646145,5,4,3,3
65,4,64,43.7124138998,-79.3974353444,4,3,3,3
64,3,59,43.737973065,-79.485310164,4,3,3,3
103,3,64,43.671653798,-79.291250505,5,3,4,4
83,4,82,43.6721680178,-79.2886764155,5,4,4,4
103,3,57,43.6725074759,-79.286877033,5,3,2,2
103,3,57,43.6726715141,-79.286127172,5,3,3,3
114,4,65,43.664610347,-79.382107604,5,3,3,3
53,11,67,43.6991544673,-79.2978100309,3,4,3,3
27,4,67,43.66049693,-79.336536519,3,4,3,3
63,25,57,43.708313291,-79.332845454,3,3,3,3
34,4,76,43.6697394508,-79.318269183,5,4,4,4
66,3,60,43.731024097,-79.438815771,5,2,3,3
66,3,61,43.731256414,-79.438819074,5,3,3,3
66,3,61,43.731503933,-79.438923714,5,3,3,3
73,3,65,43.7065405201,-79.510586885,5,4,3,3
94,4,71,43.6795067205,-79.4348853708,3,4,4,4
83,4,61,43.67961435,-79.436448672,3,3,3,3
71,3,63,43.686670483,-79.374860081,5,4,3,4
71,3,67,43.6972925811,-79.3074870563,5,4,3,4
49,7,78,43.7614984852,-79.3630422116,5,4,4,4
97,4,68,43.668468282,-79.390913332,4,4,3,4
57,7,84,43.7350883959,-79.3075489719,5,4,4,4
58,8,66,43.6656716445,-79.3798985663,3,4,3,4
31,10,74,43.7095175414,-79.5048440536,5,4,4,4
82,3,71,43.7028164419,-79.3727531693,5,3,4,3
56,18,74,43.694879113,-79.302941491,4,4,3,4
44,28,74,43.6712768014,-79.3809034624,5,4,4,4
18,33,78,43.66413332,-79.3866477012,5,4,4,4
62,4,67,43.7140370349,-79.3641217353,5,3,3,3
69,4,66,43.71415005,-79.3634434361,5,2,3,2
69,3,69,43.7143428943,-79.362633584,3,4,4,3
14,5,64,43.6804613958,-79.3122562519,3,5,3,4
61,6,68,43.715531981,-79.357969447,5,3,3,3
66,3,56,43.7308620481,-79.4833771869,3,3,3,3
34,4,75,43.663675162,-79.321078637,4,4,4,4
73,4,51,43.701892029,-79.420288428,4,2,2,2
73,4,54,43.701862989,-79.420565472,5,2,3,3
31,9,59,43.6581272715,-79.3746753263,2,3,3,3
53,9,65,43.6989642067,-79.2987112919,5,3,3,3
33,4,79,43.66557523,-79.321020795,5,4,4,4
63,5,61,43.749400376,-79.2779437479,5,4,4,4
58,7,54,43.6379977398,-79.4358904855,2,3,2,3
63,3,59,43.736369132,-79.349349482,5,3,3,3
65,6,69,43.73749502,-79.343845112,5,3,3,3
59,7,63,43.7423318181,-79.3064455289,4,3,3,3
68,4,70,43.7280385906,-79.298841109,4,4,3,4
49,18,68,43.7955806314,-79.3274423479,5,3,4,2
133,4,56,43.6379541614,-79.4330334005,3,3,3,3
29,4,76,43.6901517338,-79.2971549611,5,4,4,4
54,7,55,43.7322696922,-79.2741030573,3,2,3,3
66,3,65,43.6748716677,-79.2794749048,5,4,3,4
83,3,70,43.6425606472,-79.4482030083,5,3,3,4
105,4,49,43.6500184569,-79.4508259143,3,2,3,3
103,4,63,43.653029024,-79.451300765,5,3,3,3
50,15,78,43.7943401956,-79.3239937212,5,4,4,4
73,4,72,43.708358407,-79.3011672055,5,4,4,3
16,4,88,43.6896558449,-79.2961972389,4,4,5,4
55,4,68,43.7810845583,-79.2961863382,5,3,3,4
64,5,53,43.6357144726,-79.4365059968,3,3,3,3
57,22,63,43.6399998042,-79.4436738938,3,3,3,3
58,7,52,43.6351285886,-79.4284822778,3,2,3,3
67,4,70,43.6778956947,-79.3088113763,5,4,4,4
30,11,64,43.7470832962,-79.2854390765,4,3,3,4
61,7,62,43.7491756085,-79.2789651646,5,3,3,4
55,6,76,43.7493270741,-79.2783368218,5,5,4,4
58,7,64,43.747732393,-79.310648196,3,4,3,3
73,13,63,43.750636326,-79.2638428764,4,3,3,3
113,3,61,43.638091463,-79.444048874,5,3,3,4
49,14,80,43.795556032,-79.318124141,5,4,4,3
56,5,58,43.7567110801,-79.2880430634,4,3,3,3
63,3,64,43.7569401059,-79.2882167684,4,2,3,3
63,4,71,43.760276601,-79.289405137,5,3,3,3
73,6,61,43.7606277472,-79.289722515,4,3,3,3
63,5,72,43.7316750326,-79.2734533673,5,4,3,4
63,5,78,43.7318415798,-79.2729961142,5,5,3,4
58,7,72,43.731893112,-79.272217382,5,3,4,4
58,3,73,43.671588843,-79.324094142,5,3,4,4
52,6,53,43.7320328108,-79.2718003684,4,2,3,3
63,3,64,43.695756472,-79.449018677,4,3,3,3
62,7,69,43.695029178,-79.294709895,5,3,3,3
63,3,63,43.7007645631,-79.5028199855,4,3,3,3
63,3,60,43.736202426,-79.34939102,5,3,3,3
63,3,59,43.693721495,-79.303248784,5,3,3,3
70,6,79,43.7050294504,-79.4269669508,5,4,4,4
65,7,60,43.73338951,-79.4335900368,4,3,3,3
103,3,67,43.672858631,-79.411200872,5,3,3,3
62,7,63,43.694890667,-79.293643202,5,3,3,3
67,5,68,43.695437477,-79.296720543,5,3,3,3
63,7,67,43.695541815,-79.296047547,4,4,3,3
63,7,67,43.695428453,-79.295514265,5,4,3,3
73,4,51,43.701949088,-79.420034858,4,2,2,2
68,4,59,43.6645529032,-79.4903043858,4,2,3,3
64,7,66,43.7010141421,-79.44216061,5,3,3,3
55,5,60,43.6384585236,-79.4925019413,4,3,3,4
4,4,69,43.7185874066,-79.4436438925,5,3,3,4
53,14,60,43.7002035696,-79.2982003313,3,3,3,3
53,5,66,43.7013834487,-79.2975566964,5,4,3,4
65,4,68,43.703984006,-79.297455687,5,3,3,3
64,4,70,43.704145763,-79.298173276,5,3,4,4
73,4,58,43.7046434956,-79.2969607849,4,3,2,3
70,4,72,43.7048505726,-79.2968176488,5,4,4,3
64,6,58,43.707368794,-79.295895516,3,3,3,3
49,15,72,43.7832508381,-79.2976544815,5,3,3,3
95,4,64,43.6844655265,-79.4205577721,3,4,3,3
63,4,67,43.6845316725,-79.420531395,3,3,3,3
64,4,69,43.6354908958,-79.4906112543,4,3,3,3
73,4,61,43.7155753333,-79.42945624,5,3,3,3
68,4,69,43.727425208,-79.2987499996,5,4,3,4
66,3,62,43.7308261841,-79.4370615952,4,3,3,3
63,4,78,43.7045285856,-79.4267238856,5,4,4,4
71,3,58,43.6857167173,-79.4863999882,5,2,3,3
73,3,70,43.7301864621,-79.4373815956,5,3,3,4
55,11,72,43.679208785,-79.548319808,5,4,4,3
55,11,73,43.678668475,-79.550611679,5,4,4,4
57,4,60,43.7079349414,-79.4429642694,5,3,3,3
63,8,67,43.6676622013,-79.4064427031,5,3,3,4
69,4,65,43.6709421277,-79.3114896572,3,4,3,4
64,3,59,43.713971712,-79.452927496,5,2,3,3
62,3,63,43.713831691,-79.45359547,5,3,3,3
76,3,61,43.7037565977,-79.3653122731,5,3,3,3
61,5,72,43.7433508938,-79.3059187753,5,3,4,4
93,3,80,43.6887249387,-79.425579233,5,4,4,4
91,3,63,43.6616251252,-79.4121412383,5,3,3,3
103,3,76,43.6820983903,-79.4223318593,5,3,4,3
51,16,69,43.6537002265,-79.5643718733,5,3,3,3
68,4,53,43.6589253856,-79.3715946717,3,2,3,3
53,3,61,43.662511227,-79.417002758,5,2,3,3
38,4,74,43.7215636284,-79.5137264803,5,4,3,4
61,4,58,43.6971816506,-79.3064438643,5,3,3,3
58,6,62,43.635080626,-79.429194517,4,3,3,3
71,6,71,43.63712357,-79.429926502,3,3,3,4
64,7,66,43.665065952,-79.4034815,4,3,3,4
66,10,72,43.6695619067,-79.404633152,5,4,4,3
58,11,73,43.6700886495,-79.4054989644,4,4,4,3
66,9,64,43.6366349836,-79.4276516523,5,3,3,4
58,6,58,43.6364200969,-79.4289537195,3,3,3,3
60,11,55,43.670432258,-79.4055781,4,3,3,3
58,18,59,43.644918456,-79.435885913,2,3,3,3
58,19,59,43.64516038,-79.436694454,3,3,3,3
53,13,76,43.786291194,-79.417827386,5,4,4,3
67,3,66,43.6831377116,-79.4805570748,5,3,4,4
67,3,74,43.6831820527,-79.4807822687,5,5,4,4
86,3,56,43.735134254,-79.405173359,4,2,3,3
68,3,63,43.7075785212,-79.2951531755,5,3,3,3
74,4,64,43.6839132294,-79.276016525,5,3,3,3
113,3,56,43.672241558,-79.414621827,4,2,3,2
48,18,79,43.6779875128,-79.5535461519,5,4,4,4
123,4,47,43.6584478213,-79.4103098841,3,2,3,2
64,4,59,43.6854962871,-79.2749732512,3,3,3,3
43,4,55,43.6837736438,-79.3918217726,3,3,2,2
70,3,59,43.7199693084,-79.5144469829,4,3,3,3
83,3,65,43.722781904,-79.4147683838,5,3,3,4
35,4,59,43.656693312,-79.403904864,2,3,3,3
104,4,64,43.668063591,-79.413898107,5,3,3,4
70,6,64,43.7074440123,-79.4262923027,5,3,3,4
63,4,76,43.759947504,-79.289253718,5,4,4,4
55,3,54,43.6992765737,-79.56164594,3,3,3,3
70,6,63,43.7415952202,-79.2240381371,5,3,3,3
63,6,65,43.7415452404,-79.2234208704,5,3,3,3
14,3,51,43.690839177,-79.473005863,3,3,3,3
105,3,61,43.674829239,-79.404270792,5,2,3,2
68,6,78,43.689657175,-79.3516154158,5,4,4,4
98,3,59,43.652968445,-79.427022547000007,5,3,3,3
125,4,48,43.666610495,-79.400824313,4,3,3,3
78,4,63,43.683961366,-79.443796242,4,3,3,3
98,3,59,43.6721682166,-79.2883005888,5,3,3,3
71,7,54,43.6542760057,-79.571409419,3,2,3,3
128,4,56,43.655848559,-79.404681489,3,3,3,3
78,4,61,43.683920089,-79.443972936,4,3,3,4
84,3,58,43.7041064151,-79.3651837906,5,3,3,3
113,7,54,43.679038326,-79.298376637,5,3,3,3
54,11,58,43.761263869,-79.509638013,4,2,3,3
57,21,71,43.7045421528,-79.3403837567,5,3,4,4
57,17,72,43.705284648,-79.341449141,5,3,4,4
57,17,74,43.7061382965,-79.341500497,5,4,4,4
70,4,74,43.703301637,-79.310988273,5,4,4,4
70,4,73,43.703054654,-79.310513888,5,4,4,4
103,4,69,43.6728223924,-79.284874358,5,3,4,3
103,4,69,43.6729751909,-79.2849229366,5,3,4,3
70,3,53,43.72933702,-79.471517906,5,2,2,2
57,4,51,43.7610772976,-79.5211616748,2,3,3,3
63,3,63,43.70565801,-79.2942743706,5,3,3,3
69,3,63,43.706282345,-79.294579639,5,3,3,3
95,4,64,43.692663927,-79.3973259391,5,3,3,3
73,4,59,43.7046543279,-79.3688048748,4,3,3,3
53,4,61,43.667724652,-79.31265581,4,2,3,3
53,4,61,43.667904365,-79.312792617,4,2,3,3
70,4,61,43.6978411603,-79.3717629159,5,3,3,3
70,4,63,43.6980343959,-79.3718344399,5,3,3,3
112,4,66,43.7159928067,-79.3775463517,5,3,3,4
63,5,71,43.680371012,-79.299397904,5,3,4,4
73,3,59,43.7087775531,-79.310012242,5,3,4,4
61,4,66,43.7745588068,-79.4412316023,4,3,3,4
63,4,57,43.6791580686,-79.3585813036,5,2,3,3
67,3,59,43.704897465,-79.361903925,5,2,3,3
59,7,60,43.7176295755,-79.5558080485,4,2,3,3
96,3,63,43.6703285166,-79.302100905,5,2,3,4
62,7,55,43.6393299361,-79.4902695407,3,2,3,3
54,6,66,43.7135169093,-79.5613583242,5,3,4,4
57,14,44,43.703305875,-79.298174928,2,2,3,3
64,6,53,43.706994795,-79.295836771,3,3,3,3
69,4,63,43.7359170321,-79.3507079954,4,3,3,3
48,3,63,43.6688570495,-79.4381192033,5,3,3,3
101,4,51,43.678845919,-79.347817824,3,3,3,3
51,9,67,43.7315303371,-79.2739396307,5,4,3,4
63,3,61,43.7192557504,-79.5581150551,5,2,3,4
61,6,82,43.7333994547,-79.3476283156,5,4,4,4
103,6,60,43.6660925039,-79.3867723149,4,3,3,3
56,19,67,43.7040183112,-79.5281921878,4,3,3,4
65,4,54,43.7210302198,-79.5035704823,4,3,3,3
69,4,56,43.7290082864,-79.3040288132,3,3,2,3
92,6,65,43.6668374681,-79.3774688112,4,3,2,3
69,4,51,43.7297667593,-79.3043160261,2,4,3,3
69,4,51,43.7303493806,-79.3045356684,3,3,3,3
69,4,60,43.732195062,-79.3052538634,5,3,4,4
64,7,73,43.7030025746,-79.4254211861,5,4,4,4
53,3,64,43.668304546,-79.312459034,5,4,2,2
53,3,61,43.668417027,-79.312246964,5,3,2,2
53,3,67,43.667917594,-79.31255405,4,4,3,3
53,3,64,43.668121582,-79.312392609,4,4,2,2
68,3,60,43.7056593617,-79.3894538234,3,3,3,3
61,7,66,43.709092255,-79.385527223,5,3,3,3
93,4,75,43.681869047,-79.4287988671,5,4,4,4
93,4,74,43.6820017447,-79.4288451992,5,4,4,4
94,3,64,43.676873305,-79.359171766,5,3,3,4
63,3,53,43.7321402537,-79.4838447849,5,2,2,2
69,4,64,43.708761092,-79.50573988,5,3,3,4
69,3,63,43.720182196,-79.4809738459,5,3,3,4
66,3,65,43.7199095737,-79.4810666478,5,4,4,3
112,4,56,43.6493592565,-79.4295355197,3,2,2,3
60,11,72,43.6393484586,-79.4372340456,5,4,3,3
58,11,57,43.746940764,-79.488468802,3,3,3,2
69,3,77,43.724471124,-79.265200238,5,4,4,4
73,3,63,43.7196647917,-79.5577092738,5,3,3,3
68,3,77,43.724263108,-79.264921835,5,4,4,4
69,3,60,43.7097870925,-79.4788512552,4,2,2,3
73,3,56,43.7099657266,-79.4779872702,5,3,2,3
70,3,51,43.7216077716,-79.4801053562,3,3,3,3
108,3,60,43.6430244087,-79.4258043729,3,3,3,3
54,32,68,43.687754027,-79.391524865,3,3,4,3
98,3,44,43.682584046,-79.425180892,5,2,2,2
66,4,66,43.6403890443,-79.4907013619,5,3,3,3
62,4,82,43.7328949656,-79.3478617337,5,4,4,4
96,3,47,43.682454983,-79.425041007,5,2,2,2
54,32,70,43.6875941833,-79.3924335004,5,3,4,3
58,11,56,43.6389025378,-79.4370268337,3,3,2,2
63,8,69,43.6391266318,-79.437146582,5,3,3,3
63,3,64,43.7361423501,-79.3497718848,5,3,4,3
91,5,67,43.6507303054,-79.4393963324,3,4,3,3
73,3,63,43.6993433879,-79.4059378542,5,3,3,3
68,3,72,43.669187774,-79.297155486,5,4,4,4
58,13,54,43.7388442337,-79.578720865,4,2,3,3
68,4,67,43.6907938758,-79.3550051135,5,4,3,3
71,4,63,43.6992180008,-79.4058760142,5,3,3,3
71,4,67,43.6969871839,-79.4048152575,5,3,3,3
53,15,67,43.7054180727,-79.4894721065,4,3,3,3
38,7,77,43.678459127000004,-79.301455802,4,4,3,4
66,8,79,43.6788159908,-79.2997075141,5,4,4,4
71,4,64,43.6650849124,-79.5230752118,5,3,3,3
65,4,59,43.6414422476,-79.4724449481,4,3,3,3
69,4,61,43.6392913192,-79.4876408475,4,2,3,3
11,20,92,43.77626173,-79.320962704,5,4,4,4
52,16,70,43.776428638,-79.321483526,5,2,4,5
53,14,72,43.777312321,-79.321766948,5,2,3,4
53,10,66,43.7950106411,-79.2363445715,5,3,3,4
62,4,73,43.7047119862,-79.529254423,5,3,3,4
55,6,71,43.7058930244,-79.5316964663,5,3,4,4
51,27,67,43.7075252004,-79.5347078156,5,4,4,3
50,27,64,43.7078718117,-79.5341521524,3,3,4,4
54,5,68,43.64890631,-79.568879209,5,3,3,3
71,4,65,43.6641680509,-79.5231261637,5,3,3,4
65,3,54,43.753413504,-79.452055484,2,3,3,3
67,3,48,43.692147125300004,-79.4794625352,4,2,2,3
63,10,54,43.6351191889,-79.4356564648,5,3,3,2
63,7,59,43.6354676249,-79.43575281,5,3,3,2
63,7,59,43.6358540474,-79.4359351656,5,3,3,2
58,6,51,43.6376650671,-79.435751998,2,3,2,3
55,3,51,43.733936256,-79.484144321,3,2,2,2
58,3,55,43.735849503,-79.484562864,4,3,2,2
69,3,44,43.743260449,-79.4368250474,2,3,3,2
69,3,46,43.7434226552,-79.4370080631,3,3,3,2
66,4,60,43.6403042877,-79.4914484566,4,3,3,3
53,13,72,43.6451383038,-79.409814097700007,5,3,4,4
116,3,55,43.6621199142,-79.4122665445,5,2,3,2
112,4,53,43.663780728,-79.413601152,5,2,2,3
55,12,63,43.6886962162,-79.3510054623,5,3,3,3
37,11,56,43.6888266682,-79.3502448679,4,3,2,2
62,7,63,43.6894490908,-79.3500408612,5,3,4,4
63,3,60,43.730483195,-79.438671101,5,3,3,3
97,4,54,43.659758114,-79.434864769,2,3,3,3
