age,storeys,score,latitude,longitude,graffiti,cladding,grounds,walkways
69,4,76,43.6746668318,-79.2776535124,5,3,4,4
69,4,76,43.6746668318,-79.2776535124,4,3,4,4
69,4,76,43.6746668318,-79.2776535124,5,3,4,4
69,4,79,43.6747570284,-79.2771547349,5,4,4,4
69,4,76,43.6747570284,-79.2771547349,5,3,4,4
69,4,79,43.6747570284,-79.2771547349,5,4,4,4
88,3,60,43.6475612545,-79.4890462091,5,3,3,3
51,20,69,43.73964798,-79.514852262,5,3,4,3
106,5,44,43.6398204138,-79.4395890301,2,2,2,2
66,3,65,43.722049816,-79.445755583,5,3,3,3
27,5,80,43.720498199,-79.482860936,4,4,4,4
31,6,66,43.7578221906,-79.2338165953,5,4,3,4
61,4,61,43.705269832,-79.4911827537,4,2,3,3
60,10,53,43.69652256,-79.540704306,2,3,3,2
54,12,54,43.7985740617,-79.3051267847,2,2,3,3
35,7,70,43.6883174325,-79.3025563055,4,3,3,3
18,3,68,43.658372351,-79.367849536,5,3,3,3
32,10,71,43.6595590254,-79.3765361369,5,3,4,4
30,14,59,43.747070571,-79.562597925,5,3,2,2
61,6,64,43.698524498,-79.311523697,5,3,3,3
54,24,49,43.656567829,-79.4673846716,2,2,3,3
54,4,57,43.706257789,-79.396238397,3,3,3,2
17,7,66,43.649017812,-79.367964945,4,4,3,4
30,7,69,43.648548433,-79.370253431,5,4,3,3
30,9,79,43.6480302618,-79.3723912336,5,4,3,4
50,17,64,43.7005890595,-79.5159933375,4,3,3,3
53,29,59,43.6680628106,-79.3736609333,2,3,3,3
54,14,62,43.679802556,-79.4820189606,3,3,4,4
52,21,58,43.6991400934,-79.5152292852,3,3,3,3
48,4,52,43.6593567184,-79.3711764365,3,2,3,2
13,12,77,43.6622943764,-79.3782139337,4,4,4,4
31,3,68,43.799771853,-79.150262267,3,3,4,4
29,7,62,43.6579290015,-79.3745956527,5,3,3,3
31,4,67,43.799334653,-79.149625429,5,3,3,4
31,3,80,43.79845735,-79.149242668,5,4,4,4
31,4,73,43.798928736,-79.149462154,5,4,4,4
31,4,72,43.798799318,-79.149848619,5,3,4,4
31,3,81,43.798355204,-79.149608006,5,4,4,4
51,24,39,43.760168119,-79.507896791,2,2,2,3
31,4,66,43.79936022,-79.150044554,5,3,3,4
62,6,75,43.6562993679,-79.3909386716,5,5,4,4
37,8,76,43.6896562892,-79.3419083036,5,4,3,4
36,15,73,43.654829386,-79.38557699,5,5,4,4
40,14,72,43.7131568657,-79.4551622078,5,3,3,4
32,10,74,43.711862297,-79.454992255,5,4,3,4
218,5,63,43.6570614157,-79.3980740042,5,2,4,2
42,7,76,43.717545116,-79.331669098,5,4,3,4
48,7,50,43.659299401,-79.3709200965,1,3,3,3
73,3,64,43.7389485514,-79.3418652477,5,3,3,3
35,11,71,43.704529309,-79.348260442,4,3,3,4
55,16,52,43.6726977491,-79.4906805093,2,3,2,3
51,27,64,43.663061381,-79.357756445,3,3,3,3
31,7,67,43.658340191,-79.446051646,5,3,3,4
9,8,83,43.656257859,-79.355848526,5,4,4,4
54,13,59,43.7624910264,-79.2104930971,2,4,2,3
49,19,59,43.697963611,-79.500941749,3,2,3,4
34,7,80,43.6556979922,-79.414959496,5,4,4,4
64,6,58,43.6491637907,-79.4324188308,3,3,3,3
51,10,60,43.6653702089,-79.4987991022,2,3,3,3
51,10,61,43.665189036,-79.499393828,2,3,3,3
27,13,67,43.6470328516,-79.3728697107,5,3,4,3
29,6,66,43.6582989772,-79.4502110226,5,3,3,3
56,16,58,43.7673194757,-79.5164765451,3,3,2,3
39,6,67,43.657342412,-79.357649785,3,4,3,4
33,9,78,43.682227677,-79.47249628,5,4,4,4
41,9,69,43.648589687,-79.366782746,5,3,3,3
44,12,62,43.6784468398,-79.4962404033,3,3,3,3
34,21,59,43.69202835,-79.468140737,3,2,3,4
